N	Z	A	El	mass	m_err
40	34	74	Se	73922475.935	0.015
39	35	74	Br	73929910.281	6.264
38	36	74	Kr	73933084.017	2.161
37	37	74	Rb	73944265.868	3.249
36	38	74	Sr	73956170.0	107.0
49	26	75	Fe	74985357.0	644.0
48	27	75	Co	74968170.0	537.0
47	28	75	Ni	74952732.0	322.0
46	29	75	Cu	74941522.606	2.501
45	30	75	Zn	74932840.246	2.1
44	31	75	Ga	74926500.246	2.6
43	32	75	Ge	74922858.371	0.055
42	33	75	As	74921594.562	0.948
41	34	75	Se	74922522.871	0.078
40	35	75	Br	74925810.57	4.6
39	36	75	Kr	74930945.746	8.7
38	37	75	Rb	74938573.201	1.266
37	38	75	Sr	74949952.77	236.183
36	39	75	Y	74965840.0	322.0
49	27	76	Co	75973687.0	644.0
48	28	76	Ni	75955308.0	429.0
47	29	76	Cu	75945275.025	7.2
46	30	76	Zn	75933114.957	1.562
45	31	76	Ga	75928827.625	2.1
44	32	76	Ge	75921402.726	0.019
43	33	76	As	75922392.01	0.951
42	34	76	Se	75919213.704	0.017
41	35	76	Br	75924541.577	10.007
40	36	76	Kr	75925910.726	4.308
39	37	76	Rb	75935073.032	1.006
38	38	76	Sr	75941762.761	37.0
37	39	76	Y	75958690.0	322.0
50	27	77	Co	76977440.0	644.0
49	28	77	Ni	76960494.0	537.0
48	29	77	Cu	76947800.0	160.0
47	30	77	Zn	76936887.199	2.117
46	31	77	Ga	76929154.3	2.6
45	32	77	Ge	76923549.844	0.056
44	33	77	As	76920647.564	1.817
43	34	77	Se	76919914.15	0.067
42	35	77	Br	76921379.194	3.017
41	36	77	Kr	76924670.0	2.1
40	37	77	Rb	76930401.6	1.4
39	38	77	Sr	76937945.455	8.5
38	39	77	Y	76950146.0	218.0
37	40	77	Zr	76965604.0	429.0
50	28	78	Ni	77963618.0	644.0
49	29	78	Cu	77952230.0	540.0
48	30	78	Zn	77938289.205	2.086
47	31	78	Ga	77931608.845	2.043
46	32	78	Ge	77922852.912	3.795
45	33	78	As	77921827.795	10.5
44	34	78	Se	77917309.243	0.191
43	35	78	Br	77921145.859	3.842
42	36	78	Kr	77920366.341	0.329
41	37	78	Rb	77928141.868	3.475
40	38	78	Sr	77932179.98	8.0
39	39	78	Y	77943990.0	320.0
38	40	78	Zr	77956146.0	429.0
51	28	79	Ni	78970402.0	644.0
50	29	79	Cu	78955190.0	322.0
49	30	79	Zn	78942638.068	2.388
48	31	79	Ga	78932852.301	2.005
47	32	79	Ge	78925360.129	39.915
46	33	79	As	78920948.445	5.719
45	34	79	Se	78918499.251	0.238
44	35	79	Br	78918337.601	1.095
43	36	79	Kr	78920082.945	3.742
42	37	79	Rb	78923989.864	2.3
41	38	79	Sr	78929707.664	9.0
40	39	79	Y	78937930.0	85.0
39	40	79	Zr	78949790.0	322.0
38	41	79	Nb	78966022.0	537.0
52	28	80	Ni	79975706.0	751.0
51	29	80	Cu	79961138.0	429.0
50	30	80	Zn	79944552.93	2.774
49	31	80	Ga	79936420.774	3.103
48	32	80	Ge	79925350.774	2.205
47	33	80	As	79922474.548	3.577
46	34	80	Se	79916521.785	1.034
45	35	80	Br	79918529.81	1.086
44	36	80	Kr	79916378.048	0.742
43	37	80	Rb	79922516.444	2.0
42	38	80	Sr	79924517.54	3.718
41	39	80	Y	79934354.755	6.701
40	40	80	Zr	79941642.0	322.0
39	41	80	Nb	79958754.0	429.0
52	29	81	Cu	80966269.0	537.0
51	30	81	Zn	80950402.619	5.4
50	31	81	Ga	80938133.842	3.503
49	32	81	Ge	80928832.942	2.205
48	33	81	As	80922132.29	2.838
47	34	81	Se	80917993.044	1.065
46	35	81	Br	80916288.206	1.049
45	36	81	Kr	80916589.714	1.152
44	37	81	Rb	80918993.927	5.264
43	38	81	Sr	80923211.394	3.358
42	39	81	Y	80929454.283	5.802
41	40	81	Zr	80938314.0	101.0
40	41	81	Nb	80950230.0	429.0
39	42	81	Mo	80965915.0	537.0
53	29	82	Cu	81972818.0	644.0
52	30	82	Zn	81954574.099	3.3
51	31	82	Ga	81943176.533	2.604
50	32	82	Ge	81929774.033	2.405
49	33	82	As	81924738.733	4.003
48	34	82	Se	81916699.537	0.5
47	35	82	Br	81916801.76	1.042
46	36	82	Kr	81913481.1552	0.00589
45	37	82	Rb	81918209.024	3.23
44	38	82	Sr	81918399.847	6.432
43	39	82	Y	81926930.188	5.902
42	40	82	Zr	81931689.0	12.0
41	41	82	Nb	81944079.0	322.0
40	42	82	Mo	81956661.0	429.0
53	30	83	Zn	82961041.0	322.0
52	31	83	Ga	82947120.301	2.804
51	32	83	Ge	82934539.101	2.605
50	33	83	As	82925206.901	3.004
49	34	83	Se	82919118.609	3.259
48	35	83	Br	82915175.289	4.073
47	36	83	Kr	82914126.518	0.009
46	37	83	Rb	82915114.182	2.5
45	38	83	Sr	82917554.374	7.336
44	39	83	Y	82922484.025	20.0
43	40	83	Zr	82929240.925	6.902
42	41	83	Nb	82938211.0	162.0
41	42	83	Mo	82950252.0	430.0
40	43	83	Tc	82966377.0	537.0
54	30	84	Zn	83965722.0	429.0
53	31	84	Ga	83952670.0	215.0
52	32	84	Ge	83937575.091	3.403
51	33	84	As	83929303.291	3.403
50	34	84	Se	83918466.762	2.105
49	35	84	Br	83916496.419	27.622
48	36	84	Kr	83911497.7286	0.00407
47	37	84	Rb	83914375.225	2.355
46	38	84	Sr	83913419.12	1.334
45	39	84	Y	83920671.061	4.615
44	40	84	Zr	83923325.662	5.903
43	41	84	Nb	83934279.0	14.0
42	42	84	Mo	83941846.0	320.0
41	43	84	Tc	83959527.0	429.0
55	30	85	Zn	84972914.0	537.0
54	31	85	Ga	84957220.0	320.0
53	32	85	Ge	84942969.659	4.003
52	33	85	As	84932163.659	3.304
51	34	85	Se	84922260.759	2.804
50	35	85	Br +	84915645.759	3.304
49	36	85	Kr	84912527.262	2.147
48	37	85	Rb	84911789.7376	0.00534
47	38	85	Sr	84912932.043	3.02
46	39	85	Y	84916433.039	20.36
45	40	85	Zr	84921443.198	6.902
44	41	85	Nb	84928845.837	4.4
43	42	85	Mo	84938260.737	17.0
42	43	85	Tc	84950778.0	429.0
41	44	85	Ru	84966774.0	537.0
55	31	86	Ga	85963414.0	429.0
54	32	86	Ge	85946967.0	470.0
53	33	86	As	85936701.533	3.703
52	34	86	Se	85924311.733	2.705
51	35	86	Br	85918805.433	3.304
50	36	86	Kr	85910610.6263	0.00396
49	37	86	Rb	85911167.443	0.214
48	38	86	Sr	85909260.7263	0.00561
47	39	86	Y	85914886.098	15.182
46	40	86	Zr	85916296.815	3.827
45	41	86	Nb	85925781.535	5.903
44	42	86	Mo	85931174.817	4.0
43	43	86	Tc	85944637.0	322.0
42	44	86	Ru	85957305.0	429.0
56	31	87	Ga	86968599.0	537.0
55	32	87	Ge	86952680.0	322.0
54	33	87	As	86940291.718	3.204
53	34	87	Se	86928688.618	2.405
52	35	87	Br 2	86920674.018	3.404
51	36	87	Kr	86913354.759	0.264
50	37	87	Rb	86909180.531	0.006
49	38	87	Sr	86908877.4962	0.00548
48	39	87	Y	86910876.102	1.21
47	40	87	Zr	86914817.339	4.45
46	41	87	Nb	86920692.472	7.302
45	42	87	Mo	86928196.201	3.067
44	43	87	Tc	86938067.187	4.5
43	44	87	Ru	86951132.0	429.0
56	32	88	Ge	87956910.0	429.0
55	33	88	As	87945550.0	210.0
54	34	88	Se	87931417.491	3.604
53	35	88	Br	87924083.291	3.404
52	36	88	Kr	87914447.881	2.8
51	37	88	Rb	87911315.591	0.171
50	38	88	Sr	87905612.2556	0.00599
49	39	88	Y	87909501.276	1.61
48	40	88	Zr	87910220.709	5.8
47	41	88	Nb	87918224.287	63.134
46	42	88	Mo	87921967.781	4.1
45	43	88	Tc	87933782.381	160.0
44	44	88	Ru	87941664.0	322.0
43	45	88	Rh	87960429.0	429.0
57	32	89	Ge	88963790.0	429.0
56	33	89	As	88949760.0	320.0
55	34	89	Se	88936669.059	4.003
54	35	89	Br	88926704.559	3.504
53	36	89	Kr	88917835.45	2.3
52	37	89	Rb	88912278.137	5.825
51	38	89	Sr	88907450.808	0.098
50	39	89	Y	88905841.205	1.73
49	40	89	Zr	88908882.332	3.31
48	41	89	Nb	88913445.272	25.369
47	42	89	Mo	88919468.15	4.2
46	43	89	Tc	88927648.65	4.1
45	44	89	Ru	88937455.0	320.0
44	45	89	Rh	88950767.0	387.0
58	32	90	Ge	89968630.0	537.0
57	33	90	As	89955630.0	429.0
56	34	90	Se	89940096.0	354.0
55	35	90	Br	89931292.85	3.604
54	36	90	Kr	89919527.93	2.0
53	37	90	Rb	89914798.803	6.96
52	38	90	Sr	89907730.885	2.28
51	39	90	Y	89907144.8	1.729
50	40	90	Zr	89904698.758	0.126
49	41	90	Nb	89911259.204	3.561
48	42	90	Mo	89913931.272	3.717
47	43	90	Tc	89924073.921	1.1
46	44	90	Ru	89930344.379	4.004
45	45	90	Rh	89944498.0	322.0
44	46	90	Pd	89957370.0	429.0
58	33	91	As	90960390.0	429.0
57	34	91	Se	90945700.0	465.0
56	35	91	Br -	90934398.618	3.804
55	36	91	Kr	90923806.31	2.4
54	37	91	Rb	90916537.265	8.375
53	38	91	Sr	90910195.958	5.853
52	39	91	Y	90907298.066	1.978
51	40	91	Zr	90905640.223	0.112
50	41	91	Nb	90906990.274	3.141
49	42	91	Mo	90911745.195	6.696
48	43	91	Tc	90918424.975	2.536
47	44	91	Ru	90926741.532	2.384
46	45	91	Rh	90937123.0	320.0
45	46	91	Pd	90950692.0	430.0
59	33	92	As	91966740.0	537.0
58	34	92	Se	91949840.0	429.0
57	35	92	Br	91939631.597	7.202
56	36	92	Kr	91926173.094	2.9
55	37	92	Rb	91919728.481	6.573
54	38	92	Sr	91911038.224	3.675
53	39	92	Y	91908945.745	9.798
52	40	92	Zr	91905035.322	0.109
51	41	92	Nb	91907188.568	1.915
50	42	92	Mo	91906807.155	0.168
49	43	92	Tc	91915269.779	3.33
48	44	92	Ru	91920234.375	2.917
47	45	92	Rh	91932367.694	4.7
46	46	92	Pd	91941406.0	322.0
45	47	92	Ag	91960139.0	537.0
59	34	93	Se	92956290.0	429.0
58	35	93	Br	92943220.0	462.5
57	36	93	Kr	92931147.174	2.7
56	37	93	Rb	92922039.325	8.406
55	38	93	Sr	92914024.311	8.109
54	39	93	Y	92909578.422	11.259
53	40	93	Zr	92906470.646	0.49
52	41	93	Nb	92906373.161	1.6
51	42	93	Mo	92906808.773	0.193
50	43	93	Tc	92910245.149	1.086
49	44	93	Ru	92917104.444	2.216
48	45	93	Rh	92925912.781	2.821
47	46	93	Pd	92936660.0	323.0
46	47	93	Ag	92950330.0	430.0
60	34	94	Se	93960490.0	537.0
59	35	94	Br	93949114.0	322.0
58	36	94	Kr	93934140.454	13.0
57	37	94	Rb	93926394.818	2.177
56	38	94	Sr	93915355.643	1.785
55	39	94	Y	93911592.063	6.849
54	40	94	Zr	93906312.524	0.175
53	41	94	Nb	93907278.992	1.601
52	42	94	Mo	93905083.592	0.151
51	43	94	Tc	93909652.325	4.37
50	44	94	Ru	93911342.863	3.374
49	45	94	Rh	93921730.453	3.627
48	46	94	Pd	93929036.292	4.602
47	47	94	Ag	93943736.0	429.0
46	48	94	Cd	93956908.0	537.0
61	34	95	Se	94967300.0	537.0
60	35	95	Br	94953010.0	320.0
59	36	95	Kr	94939710.923	20.0
58	37	95	Rb	94929262.568	21.734
57	38	95	Sr	94919355.84	6.239
56	39	95	Y	94912818.711	7.277
55	40	95	Zr	94908040.267	0.933
54	41	95	Nb	94906831.115	0.545
53	42	95	Mo	94905837.442	0.132
52	43	95	Tc	94907652.287	5.453
51	44	95	Ru	94910404.42	10.2
50	45	95	Rh	94915897.895	4.171
49	46	95	Pd	94924888.512	3.253
48	47	95	Ag	94936020.0	320.0
47	48	95	Cd	94949940.0	430.0
61	35	96	Br	95959030.0	320.0
60	36	96	Kr	95943016.618	22.0
59	37	96	Rb	95934133.393	3.599
58	38	96	Sr	95921712.692	9.098
57	39	96	Y	95915902.953	6.535
56	40	96	Zr	95908277.621	0.122
55	41	96	Nb	95908101.591	0.157
54	42	96	Mo	95904674.774	0.128
53	43	96	Tc	95907866.681	5.524
52	44	96	Ru	95907588.914	0.182
51	45	96	Rh	95914451.71	10.737
50	46	96	Pd	95918213.744	4.502
49	47	96	Ag	95930743.906	96.708
48	48	96	Cd	95940340.0	430.0
47	49	96	In	95959323.0	537.0
62	35	97	Br	96963440.0	430.0
61	36	97	Kr	96949088.784	140.0
60	37	97	Rb	96937177.118	2.052
59	38	97	Sr	96926374.776	3.633
58	39	97	Y	96918280.286	7.213
57	40	97	Zr	96910957.386	0.444
56	41	97	Nb	96908098.414	4.561
55	42	97	Mo	96906016.903	0.176
54	43	97	Tc	96906360.723	4.42
53	44	97	Ru	96907545.779	2.965
52	45	97	Rh	96911327.876	38.071
51	46	97	Pd	96916471.987	5.2
50	47	97	Ag	96923965.326	118.204
49	48	97	Cd	96935100.0	320.0
48	49	97	In	96949340.0	430.0
63	35	98	Br	97969672.0	429.0
62	36	98	Kr	97952430.0	320.0
61	37	98	Rb	97941632.317	17.265
60	38	98	Sr	97928691.86	3.463
59	39	98	Y  p	97922388.36	8.511
58	40	98	Zr	97912735.124	9.072
57	41	98	Nb	97910332.65	5.369
56	42	98	Mo	97905403.608	0.186
55	43	98	Tc	97907211.205	3.628
54	44	98	Ru	97905286.713	6.937
53	45	98	Rh	97910707.74	12.782
52	46	98	Pd	97912698.337	5.09
51	47	98	Ag	97921559.972	35.327
50	48	98	Cd	97927389.317	55.605
49	49	98	In	97942140.0	320.0
63	36	99	Kr	98958390.0	430.0
62	37	99	Rb	98945119.192	4.327
61	38	99	Sr	98932880.511	5.089
60	39	99	Y	98924154.288	7.114
59	40	99	Zr	98916670.835	11.274
58	41	99	Nb	98911609.371	12.886
57	42	99	Mo	98907707.298	0.245
56	43	99	Tc	98906249.678	0.974
55	44	99	Ru	98905930.278	0.369
54	45	99	Rh	98908124.69	7.189
53	46	99	Pd	98911773.29	5.347
52	47	99	Ag	98917645.768	6.725
51	48	99	Cd	98924925.847	1.7
50	49	99	In	98934110.0	320.0
49	50	99	Sn	98948530.0	540.0
64	36	100	Kr	99962370.0	430.0
63	37	100	Rb	99950351.731	21.0
62	38	100	Sr	99935779.615	7.686
61	39	100	Y	99927721.063	12.008
60	40	100	Zr	99918005.444	8.748
59	41	100	Nb	99914333.963	8.573
58	42	100	Mo	99907467.976	0.323
57	43	100	Tc	99907652.711	1.45
56	44	100	Ru	99904210.452	0.368
55	45	100	Rh	99908114.141	19.458
54	46	100	Pd	99908520.315	18.935
53	47	100	Ag	99916115.445	5.367
52	48	100	Cd	99920348.82	1.799
51	49	100	In	99930957.18	195.942
50	50	100	Sn	99938504.196	323.693
65	36	101	Kr	100968730.0	540.0
64	37	101	Rb	100954004.0	215.0
63	38	101	Sr	100940606.266	9.103
62	39	101	Y	100930154.138	7.614
61	40	101	Zr	100921453.11	8.951
60	41	101	Nb	100915306.496	4.024
59	42	101	Mo	100910337.641	0.331
58	43	101	Tc	100907305.26	25.768
57	44	101	Ru	100905573.075	0.445
56	45	101	Rh	100906158.905	6.27
55	46	101	Pd	100908284.828	4.925
54	47	101	Ag	100912683.953	5.193
53	48	101	Cd	100918586.211	1.6
52	49	101	In	100926340.0	210.0
51	50	101	Sn	100935259.244	322.068
65	37	102	Rb	101959520.0	320.0
64	38	102	Sr	101944004.68	72.0
63	39	102	Y	101934327.889	4.377
62	40	102	Zr	101923147.431	9.412
61	41	102	Nb	101918083.697	2.732
60	42	102	Mo	101910288.138	8.923
59	43	102	Tc	101909207.275	9.84
58	44	102	Ru	101904340.3	0.448
57	45	102	Rh	101906834.27	6.881
56	46	102	Pd	101905632.058	0.594
55	47	102	Ag	101911704.54	8.771
54	48	102	Cd	101914481.799	1.784
53	49	102	In	101924105.916	4.909
52	50	102	Sn	101930289.53	107.466
66	37	103	Rb	102963920.0	430.0
65	38	103	Sr	102949090.0	210.0
64	39	103	Y	102937243.208	12.028
63	40	103	Zr	102927197.24	9.911
62	41	103	Nb	102919453.403	4.224
61	42	103	Mo	102913085.14	9.911
60	43	103	Tc	102909174.008	10.531
59	44	103	Ru	102906314.833	0.475
58	45	103	Rh	102905494.068	2.47
57	46	103	Pd	102906110.84	1.019
56	47	103	Ag	102908960.56	4.4
55	48	103	Cd	102913416.923	1.943
54	49	103	In	102919878.613	10.332
53	50	103	Sn	102928101.962	75.855
52	51	103	Sb	102939690.0	320.0
66	38	104	Sr	103952650.0	320.0
65	39	104	Y	103941960.0	430.0
64	40	104	Zr	103929442.315	10.011
63	41	104	Nb	103922899.115	2.938
62	42	104	Mo	103913740.756	9.576
61	43	104	Tc	103911428.905	26.718
60	44	104	Ru	103905425.36	2.681
59	45	104	Rh	103906645.295	2.472
58	46	104	Pd	103904030.401	1.434
57	47	104	Ag	103908623.725	4.527
56	48	104	Cd	103909856.23	1.795
55	49	104	In	103918214.54	6.2
54	50	104	Sn	103923105.197	6.167
53	51	104	Sb	103936474.502	131.449
67	38	105	Sr	104958550.0	540.0
66	39	105	Y	104944959.0	1435.0
65	40	105	Zr	104934014.89	13.008
64	41	105	Nb	104924942.564	4.324
63	42	105	Mo	104916975.159	9.731
62	43	105	Tc	104911657.952	37.857
61	44	105	Ru	104907745.525	2.682
60	45	105	Rh	104905687.806	2.685
59	46	105	Pd	104905079.487	1.222
58	47	105	Ag	104906525.607	4.877
57	48	105	Cd	104909463.895	1.494
56	49	105	In	104914502.324	11.0
55	50	105	Sn	104921268.423	4.263
54	51	105	Sb	104931276.549	23.431
53	52	105	Te	104943304.508	322.084
68	38	106	Sr	105962651.0	644.0
67	39	106	Y	105950560.0	540.0
66	40	106	Zr	105937144.0	465.0
65	41	106	Nb	105928927.768	4.424
64	42	106	Mo	105918266.218	9.812
63	43	106	Tc	105914356.697	13.15
62	44	106	Ru	105907328.203	5.787
61	45	106	Rh	105907285.901	5.785
60	46	106	Pd	105903480.293	1.186
59	47	106	Ag	105906663.507	3.237
58	48	106	Cd	105906459.797	1.184
57	49	106	In	105913463.603	13.125
56	50	106	Sn	105916957.396	5.465
55	51	106	Sb	105928637.982	8.0
54	52	106	Te	105937498.526	107.934
69	38	107	Sr	106968975.0	751.0
68	39	107	Y	106954520.0	540.0
67	40	107	Zr	106941621.0	1205.0
66	41	107	Nb	106931589.672	8.612
65	42	107	Mo	106922112.692	9.912
64	43	107	Tc	106915458.485	9.31
63	44	107	Ru	106909969.885	9.31
62	45	107	Rh	106906747.974	12.937
61	46	107	Pd	106905128.064	1.289
60	47	107	Ag	106905091.531	2.557
59	48	107	Cd	106906612.108	1.787
58	49	107	In	106910290.071	11.943
57	50	107	Sn	106915713.651	5.7
56	51	107	Sb	106924150.624	4.452
55	52	107	Te	106935008.356	76.039
54	53	107	I	106946935.0	322.0
69	39	108	Y	107959960.0	640.0
68	40	108	Zr	107944870.0	430.0
67	41	108	Nb	107936074.988	8.842
66	42	108	Mo	107924040.367	9.912
65	43	108	Tc	107918493.541	9.413
64	44	108	Ru	107910185.841	9.318
63	45	108	Rh	107908714.688	15.024
62	46	108	Pd	107903891.805	1.189
61	47	108	Ag	107905950.266	2.563
60	48	108	Cd	107904183.587	1.205
59	49	108	In	107909693.655	9.276
58	50	108	Sn	107911894.292	5.778
57	51	108	Sb	107922226.734	5.9
56	52	108	Te	107929380.471	5.808
55	53	108	I	107943478.321	141.986
70	39	109	Y	108964358.0	751.0
69	40	109	Zr	108950410.0	540.0
68	41	109	Nb	108939141.0	277.5
67	42	109	Mo	108928431.106	12.01
66	43	109	Tc	108920254.156	10.38
65	44	109	Ru	108913323.756	9.612
64	45	109	Rh	108908749.326	4.336
63	46	109	Pd	108905950.574	1.195
62	47	109	Ag	108904755.773	1.381
61	48	109	Cd	108904986.698	1.649
60	49	109	In	108907149.685	4.261
59	50	109	Sn	108911292.843	8.533
58	51	109	Sb	108918141.204	5.652
57	52	109	Te	108927304.534	4.704
56	53	109	I	108938086.025	7.223
55	54	109	Xe	108950434.948	322.178
70	40	110	Zr	109953960.0	640.0
69	41	110	Nb	109943843.0	900.0
68	42	110	Mo	109930710.68	26.004
67	43	110	Tc	109923741.312	10.195
66	44	110	Ru	109914038.548	9.58
65	45	110	Rh	109911079.742	19.114
64	46	110	Pd	109905172.868	0.657
63	47	110	Ag	109906110.719	1.38
62	48	110	Cd	109903007.46	0.407
61	49	110	In	109907170.665	12.402
60	50	110	Sn	109907844.835	14.79
59	51	110	Sb	109916854.286	6.4
58	52	110	Te	109922458.104	7.058
57	53	110	I	109935089.033	54.27
56	54	110	Xe	109944258.765	108.415
71	40	111	Zr	110959678.0	751.0
70	41	111	Nb	110947530.0	320.0
69	42	111	Mo	110935652.016	13.502
68	43	111	Tc	110925899.016	11.359
67	44	111	Ru	110917567.616	10.394
66	45	111	Rh	110911642.531	7.354
65	46	111	Pd	110907690.347	0.785
64	47	111	Ag	110905296.816	1.565
63	48	111	Cd	110904183.766	0.383
62	49	111	In	110905107.233	3.675
61	50	111	Sn	110907741.126	5.728
60	51	111	Sb	110913218.189	9.5
59	52	111	Te	110921000.589	6.9
58	53	111	I	110930269.239	5.103
57	54	111	Xe	110941603.989	93.076
56	55	111	Cs	110954030.0	210.0
72	40	112	Zr	111963703.0	751.0
71	41	112	Nb	111952470.0	320.0
70	42	112	Mo	111938310.0	210.0
69	43	112	Tc	111929941.644	5.92
68	44	112	Ru	111918806.972	10.305
67	45	112	Rh	111914404.705	47.327
66	46	112	Pd	111907329.986	7.025
65	47	112	Ag	111907048.55	2.6
64	48	112	Cd	111902763.883	0.268
63	49	112	In	111905538.704	4.563
62	50	112	Sn	111904824.877	0.315
61	51	112	Sb	111912399.903	19.14
60	52	112	Te	111916727.85	9.0
59	53	112	I	111928004.55	11.0
58	54	112	Xe	111935559.071	8.891
57	55	112	Cs	111950305.341	93.178
72	41	113	Nb	112956510.0	430.0
71	42	113	Mo	112943650.0	322.0
70	43	113	Tc	112932569.033	3.6
69	44	113	Ru	112922846.396	39.587
68	45	113	Rh	112915439.567	7.653
67	46	113	Pd	112910261.267	7.455
66	47	113	Ag	112906572.858	17.866
65	48	113	Cd	112904408.097	0.262
64	49	113	In	112904060.448	0.202
63	50	113	Sn	112905175.845	1.69
62	51	113	Sb	112909374.652	18.457
61	52	113	Te	112915891.0	30.0
60	53	113	I	112923650.064	8.6
59	54	113	Xe	112933221.666	7.342
58	55	113	Cs	112944428.488	9.207
57	56	113	Ba	112957290.0	320.0
73	41	114	Nb	113962010.0	540.0
72	42	114	Mo	113946530.0	320.0
71	43	114	Tc	113937090.0	465.0
70	44	114	Ru	113924613.78	3.811
69	45	114	Rh	113918721.296	76.824
68	46	114	Pd	113910368.78	7.456
67	47	114	Ag	113908823.031	4.9
66	48	114	Cd	113903364.99	0.296
65	49	114	In	113904916.402	0.323
64	50	114	Sn	113902780.132	0.031
63	51	114	Sb	113909289.191	23.444
62	52	114	Te	113912089.0	30.0
61	53	114	I	113921850.0	160.0
60	54	114	Xe	113927980.331	12.0
59	55	114	Cs	113941296.175	76.331
58	56	114	Ba	113950718.495	110.227
74	41	115	Nb	114966340.0	540.0
73	42	115	Mo	114951960.0	430.0
72	43	115	Tc	114939538.0	847.5
71	44	115	Ru	114928942.393	95.004
70	45	115	Rh	114920310.993	7.854
69	46	115	Pd	114913658.718	14.541
68	47	115	Ag	114908767.363	19.611
67	48	115	Cd	114905437.417	0.699
66	49	115	In	114903878.773	0.012
65	50	115	Sn	114903344.697	0.016
64	51	115	Sb	114906598.0	17.203
63	52	115	Te	114911902.0	30.0
62	53	115	I	114918048.0	31.0
61	54	115	Xe	114926293.945	13.0
60	55	115	Cs	114935910.0	110.0
59	56	115	Ba	114947375.0	215.0
74	42	116	Mo	115955448.0	537.0
73	43	116	Tc	115944760.0	320.0
72	44	116	Ru	115931219.193	4.0
71	45	116	Rh	115924061.645	79.261
70	46	116	Pd	115914297.21	7.656
69	47	116	Ag	115911386.812	3.5
68	48	116	Cd	115904763.23	0.172
67	49	116	In	115905259.992	0.236
66	50	116	Sn	115901742.824	0.103
65	51	116	Sb	115906792.583	5.539
64	52	116	Te	115908460.0	30.0
63	53	116	I	115916808.658	103.695
62	54	116	Xe	115921581.112	14.0
61	55	116	Cs	115933395.0	108.0
60	56	116	Ba	115941406.0	215.0
59	57	116	La	115956365.0	335.0
75	42	117	Mo	116961170.0	537.0
74	43	117	Tc	116948060.0	430.0
73	44	117	Ru	116936135.0	465.0
72	45	117	Rh	116926035.623	9.546
71	46	117	Pd	116917954.944	7.785
70	47	117	Ag	116911773.974	14.57
69	48	117	Cd	116907226.038	1.087
68	49	117	In	116904515.712	5.239
67	50	117	Sn	116902954.017	0.518
66	51	117	Sb	116904841.535	9.057
65	52	117	Te	116908646.313	14.446
64	53	117	I	116913648.314	28.123
63	54	117	Xe	116920358.76	11.141
62	55	117	Cs	116928616.726	67.0
61	56	117	Ba	116938316.561	268.75
60	57	117	La	116950111.0	215.0
76	42	118	Mo	117964970.0	537.0
75	43	118	Tc	117952990.0	430.0
74	44	118	Ru	117938529.0	215.0
73	45	118	Rh	117930340.443	26.017
72	46	118	Pd	117919066.847	2.673
71	47	118	Ag	117914595.487	2.7
70	48	118	Cd	117906921.955	21.471
69	49	118	In	117906356.659	8.322
68	50	118	Sn	117901606.609	0.536
67	51	118	Sb	117905532.174	3.238
66	52	118	Te	117905853.839	19.84
65	53	118	I	117913074.0	21.213
64	54	118	Xe	117916178.68	11.141
63	55	118	Cs	117926559.519	13.69
62	56	118	Ba	117933060.0	210.0
61	57	118	La	117946795.0	322.0
76	43	119	Tc	118956660.0	540.0
75	44	119	Ru	118943570.0	320.0
74	45	119	Rh	118932556.952	10.0
73	46	119	Pd	118923340.459	8.851
72	47	119	Ag	118915570.293	15.783
71	48	119	Cd	118909846.903	40.467
70	49	119	In	118905850.944	7.844
69	50	119	Sn	118903311.216	0.778
68	51	119	Sb	118903945.512	8.267
67	52	119	Te	118906407.148	8.541
66	53	119	I	118910074.0	30.0
65	54	119	Xe	118915410.713	11.141
64	55	119	Cs	118922377.33	14.965
63	56	119	Ba	118930659.686	214.997
62	57	119	La	118941181.0	322.0
61	58	119	Ce	118952828.0	537.0
77	43	120	Tc	119961870.0	540.0
76	44	120	Ru	119946310.0	430.0
75	45	120	Rh	119936860.0	210.0
74	46	120	Pd	119924551.258	2.459
73	47	120	Ag	119918784.767	4.8
72	48	120	Cd	119909868.067	4.0
71	49	120	In	119907966.805	42.952
70	50	120	Sn	119902201.873	0.962
69	51	120	Sb	119905079.624	7.725
68	52	120	Te	119904059.514	3.311
67	53	120	I	119910087.465	16.44
66	54	120	Xe	119911784.27	12.686
65	55	120	Cs	119920677.279	10.702
64	56	120	Ba	119926045.0	322.241
63	57	120	La	119938196.0	322.0
62	58	120	Ce	119946752.0	537.0
78	43	121	Tc	120965883.0	537.0
77	44	121	Ru	120951640.0	430.0
76	45	121	Rh	120939613.0	665.0
75	46	121	Pd	120928950.343	3.6
74	47	121	Ag	120920125.282	13.0
73	48	121	Cd	120912963.663	2.085
72	49	121	In	120907851.286	29.43
71	50	121	Sn	120904242.792	1.025
70	51	121	Sb	120903810.093	2.771
69	52	121	Te	120904942.488	27.751
68	53	121	I	120907405.255	5.749
67	54	121	Xe	120911453.014	10.995
66	55	121	Cs	120917227.238	15.34
65	56	121	Ba	120924052.289	152.333
64	57	121	La	120933236.0	322.0
63	58	121	Ce	120943435.0	430.0
62	59	121	Pr	120955532.0	537.0
78	44	122	Ru	121954750.0	537.0
77	45	122	Rh	121944090.0	322.0
76	46	122	Pd	121930631.694	21.0
75	47	122	Ag	121923664.448	41.0
74	48	122	Cd	121913459.052	2.468
